,BD,BP,PR,SP,CH,ED,SENT,NAME
353,0,1,0,0,0,0,19,Louis Lansana Beavogui
354,1,0,0,0,0,0,69,Moussa Camara
355,1,5,0,0,0,0,22,Sékouba Konaté
356,1,3,0,0,0,0,74,Bharrat Jagdeo
357,1,2,0,1,0,0,43,David A. Granger
358,0,3,0,0,0,0,26,Donald Ramotar
359,0,3,0,9,0,0,53,Janet Jagan
360,1,0,0,0,0,0,10,Boniface Alexandre
361,1,13,0,2,0,0,72,Ertha Pascal-Trouillot
362,1,3,0,0,0,0,15,Hérard Abraham
363,2,64,0,2,0,0,233,Jean-Bertrand Aristide
364,0,2,0,1,0,0,17,Jocelerme Privert
365,0,8,0,1,0,0,33,Jovenel Moïse
366,0,30,0,0,1,0,138,Michel Martelly
367,1,6,0,3,0,0,83,René Préval
368,1,8,0,3,0,0,26,Carlos Roberto Flores
369,1,10,0,1,0,0,32,Carlos Roberto Reina
370,0,7,0,0,0,0,18,José Azcona del Hoyo
371,1,2,0,1,0,0,6,Juan Alberto Melgar Castro
372,0,9,0,0,0,0,28,Juan Manuel Galvez
373,0,9,0,2,0,0,52,Juan Orlando Hernández
374,1,4,0,0,0,0,8,Julio Lozano Díaz
375,1,4,0,2,0,0,182,Manuel Zelaya
376,1,0,0,0,0,0,8,Miguel Paz Barahona
377,0,1,0,0,0,0,21,Oswaldo López Arellano
378,1,4,0,0,0,0,8,Policarpo Paz García
379,0,7,0,3,0,0,26,Porfirio Lobo Sosa
380,2,13,0,0,0,0,41,Rafael Leonardo Callejas
381,1,4,0,0,0,0,17,Ramón Villeda Morales
382,1,1,0,1,0,0,24,Ricardo Maduro
383,1,16,0,1,0,0,68,Roberto Micheletti
384,0,10,0,0,0,0,18,Roberto Suazo Córdova
385,1,16,0,0,0,0,76,Tiburcio Carías Andino
386,0,2,0,0,0,0,6,Vicente Mejía Colindres
387,1,0,0,1,0,0,12,Vicente Tosta
388,1,3,0,0,0,0,6,Brunó Ferenc Straub
389,1,2,0,1,0,0,47,Béla Miklós
390,1,0,0,1,1,0,54,Ferenc Mádl
391,1,0,0,0,0,0,13,Ferenc Nagy
392,1,1,0,0,0,0,106,Ferenc Szálasi
393,2,7,0,0,0,0,65,Gyula Peidl
394,1,1,0,0,0,0,25,István Dobi
395,2,3,0,1,1,0,106,István Friedrich
396,0,16,0,1,4,0,97,János Áder
397,1,1,0,0,0,0,40,Károly Huszár
398,1,1,0,0,0,0,2,Károly Németh
399,1,2,0,0,0,0,17,Lajos Dinnyés
400,0,7,0,1,3,0,65,László Kövér
401,1,2,0,0,0,0,129,László Sólyom
402,1,3,0,0,1,0,90,Mihály Károlyi
403,0,3,0,0,34,0,430,Miklós Horthy
404,1,5,0,0,1,0,13,Mátyás Szűrös
405,1,0,0,0,0,0,2,Pál Losonczi
406,2,5,0,1,0,0,61,Pál Schmitt
407,1,0,0,0,0,0,8,Sándor Garbai
408,1,1,0,0,6,0,20,Zoltán Tildy
409,2,14,4,1,9,0,327,Árpád Göncz
410,2,1,0,0,0,0,112,Christian X of Denmark
411,0,14,0,1,0,0,58,Guðni Th. Jóhannesson
412,1,0,0,0,0,0,17,Kristján Eldjárn
413,0,0,0,3,0,0,40,Sveinn Björnsson
414,2,11,0,0,0,0,48,Vigdís Finnbogadóttir
415,0,7,0,3,0,0,25,Ásgeir Ásgeirsson
416,1,1,0,6,0,0,79,Ólafur Ragnar Grímsson
417,2,14,0,0,0,0,233,A. P. J. Abdul Kalam
418,1,4,0,0,0,0,36,B. D. Jatti
419,2,5,0,0,0,0,31,Fakhruddin Ali Ahmed
420,1,35,0,2,69,0,208,K. R. Narayanan
421,1,25,0,1,0,0,73,Mohammad Hidayatullah
422,0,16,0,5,0,0,115,Neelam Sanjiva Reddy
423,0,42,0,3,3,0,230,Pranab Mukherjee
424,0,7,0,3,0,0,64,Pratibha Patil
425,1,19,0,0,0,0,54,R. Venkataraman
426,1,11,0,1,0,0,55,Ram Nath Kovind
427,1,10,0,1,0,0,84,Shankar Dayal Sharma
428,1,29,0,0,0,0,113,V. V. Giri
429,0,0,0,0,0,0,40,Zail Singh
430,1,11,3,1,1,0,328,Abdurrahman Wahid
431,1,1,0,4,0,0,124,B. J. Habibie
432,2,44,0,1,7,0,198,Joko Widodo
433,1,12,0,5,4,0,141,Megawati Soekarnoputri
434,2,4,0,0,10,0,393,Suharto
435,0,10,0,23,17,0,496,Sukarno
436,1,29,0,3,6,0,225,Susilo Bambang Yudhoyono
437,2,1,0,2,12,0,240,Akbar Hashemi Rafsanjani
438,1,6,0,1,7,0,383,Ali Khamenei
439,0,2,0,1,0,0,268,Hassan Rouhani
